orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Lengyelorszag,2016,74.9,61.5,91.1,1.6,1899.4,1009.6,28322.1069770901,221766.8,91.5,908.1,17.3
Lengyelorszag,2017,77,63,92,1.6,1922.3,1121.3,30064.5034841771,253163,92.2,866.8,15
Lengyelorszag,2018,78.3,64.5,92.1,1.7,1907.7,1273.5,31953.0350337072,275015.4,92.7,898.3,14.8
Lengyelorszag,2019,79.7,64.9,92.2,1.7,1915.6,1297.3,33797.7673600747,295592.2,93,886,15.4
Lengyelorszag,2020,80.2,65.2,92.9,1.7,1996.4,1342.8,34240.2473551909,294219.2,93.6,881,14.8
Lettorszag,2012,69.8,66.2,85.6,1.5,52.4,880.2,21290.4595879,13577.5,92.2,34.7,19.2
Lettorszag,2013,71.7,67.5,85.9,1.5,53.5,950.7,22639.0683375842,13764.8,92.5,36.9,19.4
Lettorszag,2014,72.9,68.4,86,1.5,55.7,1014.9,23815.8000623115,14443.6,92.7,34.5,21.2
Lettorszag,2015,74.6,70.5,86.9,1.5,63.1,907.2,24972.7860869932,14805.2,93.2,37.1,22.5
Lettorszag,2016,74.5,71.7,88.2,1.5,62.5,950.2,26721.7261996962,15115.6,93,39.2,21.8
Lettorszag,2017,76.9,72.6,87.5,1.5,59.6,1043.6,28673.5633962664,16615.3,93,42.4,22.1
Lettorszag,2018,79,74.7,87.8,1.5,55.8,1185.1,30877.0419264807,17923,93.3,40,23.3
Lettorszag,2019,79.2,75.5,88.6,1.6,54.9,1204.5,31883.2591148032,18338.4,93.5,40.3,22.9
Lettorszag,2020,78.8,75.1,88.8,1.6,58.9,1302.6,31464.484293229,17803.2,94.3,44.8,21.6
Litvania,2012,69.1,67.9,92,1.5,72.4,785.3,24703.6858202502,26135.6,94.5,46.8,18.6
Litvania,2013,71.2,68.6,92.1,1.5,80.4,855.5,26721.5796712844,27565.1,94.7,52.1,20.6
Litvania,2014,73.1,70.6,91.7,1.5,79.4,896.5,28184.4723303858,26437.5,94.7,56.6,19.1
Litvania,2015,74.6,72.2,91.8,1.5,85.1,791.3,28834.4276801135,25685.5,95.1,55.6,22.2
Litvania,2016,76.2,74.3,93.2,1.5,92.2,855.7,30925.1708493589,26284.6,96,54.7,21.9
Litvania,2017,76.5,75.5,93.2,1.6,87.3,947.2,33761.871239796,31113.3,96.3,54.1,22.9
Litvania,2018,79,76.7,93.3,1.6,87.5,1090.8,36376.1898152469,34229.9,96.2,55.3,22.9
Litvania,2019,79,77.4,93.5,1.5,93,1451.2,38540.7814542339,37775.9,96.3,51.6,20.6
Litvania,2020,77.5,75.8,93.8,1.5,93.6,1628.2,38883.1190343211,36388.5,96.9,49.9,20.9
Luxemburg,2012,78.5,64.1,80.2,1.8,11.4,6061.9,96636.426643956,79658.4,76.3,7.3,15.1
Luxemburg,2013,78,63.9,81.6,1.8,11.1,6430.3,100925.011992241,86594.5,79.3,7.4,15.9
Luxemburg,2014,78.4,65.5,84.1,1.8,12,6694,105296.284588232,94665.5,79.8,7,16.4
Luxemburg,2015,76.7,65,76.4,1.7,13,5675.6,107859.685999308,103864.1,75.6,8.3,15.3
Luxemburg,2016,76.1,65.1,79.5,1.7,14.6,5690.6,113365.176082265,107412.9,77.3,8.7,15.8
Luxemburg,2017,75.4,67.5,77.2,1.7,13.9,5992.9,114985.842235989,112118.9,75.6,9.8,16.4
Luxemburg,2018,76,68,78.7,1.7,12.4,6416.5,116965.586110774,118563.3,78.4,8.2,16.7
Luxemburg,2019,77.2,68.1,79.7,1.7,12.8,6146.4,117341.915064354,128845.8,78.9,8.1,17.5
Luxemburg,2020,75.6,68.5,78.6,1.7,13.7,6228.8,117500.207221609,131454.7,78.4,8.3,17.4
Magyarorszag,2012,67.3,60.4,84.5,1.6,278.1,1080.3,46361.463694173,183012.7,79.6,140.5,14.3
Magyarorszag,2013,69.3,61.2,84.9,1.7,276,1094.8,47830.6308878373,186244.3,80.2,132.4,15
Magyarorszag,2014,73.5,64.1,85.1,1.7,286.8,1052.1,51098.2666828245,214349.7,81.1,133.4,15
Magyarorszag,2015,75.8,66.2,84.9,1.7,284.8,887.8,69028.7727189836,320564.9,81.6,141.2,14.9
Magyarorszag,2016,78.6,68.9,85.2,1.7,283.7,897.8,71498.6010072841,328235.4,81.6,148.2,14.5
Magyarorszag,2017,81,69.9,86,1.6,273.6,1020.6,77749.2019569363,359654.9,82.1,148.3,13.4
Magyarorszag,2018,82.1,71.4,86.4,1.6,280.4,1124.5,84555.6348017403,401001.3,83.3,148.5,12.8
Magyarorszag,2019,83.1,72.1,86.3,1.6,297.3,1126.2,87379.6929656668,456096.7,83.6,149.7,12.3
Magyarorszag,2020,83.1,71.9,86.9,1.6,322.5,1138.9,93180.9453964352,488877.4,84.2,169.1,12.3
Malta,2012,79.4,48,40.1,1.6,18,4959.32,30243.8413140141,12012.9,36.8,3.9,15.1
Malta,2013,80.3,51.7,42.3,1.6,19.2,4959.32,32295.8473400221,12391,40.5,4.2,15.8
Malta,2014,81.1,54.3,44.8,1.6,19.1,4959.32,34344.0217879777,13110.2,44.3,4.9,15.8
Malta,2015,82.1,55.3,46.4,1.6,20.5,4959.32,37455.20487447,15456.7,47.2,5.3,16.6
Malta,2016,83.5,58,48.7,1.6,23,4959.32,39887.0994858593,16634,50.2,4.8,16.5
Malta,2017,84.7,60.6,51.8,1.6,24.1,4959.32,42644.0804444448,18477.3,52.1,7.1,16.7
Malta,2018,86,64.1,55,1.6,24.4,4959.32,44218.9956719403,18812.7,55,7.6,16.8
Malta,2019,86.5,65.8,57.9,1.6,28,4959.32,45937.7001684606,20512.8,57.7,9.2,17.1
Malta,2021,86.4,67.8,60.4,1.6,29.6,4959.32,41740.7703938873,19489.9,60.4,9.8,16.9
Nemetorszag,2012,81,70.7,88.9,1.6,2708.7,3793.6,43359.6148271723,1271274,84.4,1287.9,16.1
Nemetorszag,2013,81,71.5,88.7,1.6,2615.9,4013.3,44993.8927459315,1276878,84.6,1270.6,16.1
Nemetorszag,2014,81.2,72.1,88.7,1.6,2555.8,4115.8,47011.5510935131,1335472,85.1,1262.8,16.7
Nemetorszag,2015,81.2,72.6,88.5,1.6,2524.5,3540.6,47609.7810045816,1419906,85.1,1244.6,16.7
Nemetorszag,2016,81.6,73.5,87.9,1.6,2476,3606.8,50579.6839299266,1444277,85.1,1253,16.5
Nemetorszag,2017,82,74.2,87.6,1.6,2420.4,3770,53071.4555699913,1540892,85.3,1245.5,16.1
Nemetorszag,2018,82.8,74.8,87.6,1.6,2346.3,4064.6,55235.366304833,1593033,85.6,1205.1,16
Nemetorszag,2019,83.5,75.5,87.6,1.7,2321.9,3966.9,55652.8874913932,1619423,85.7,1180,18.9
Nemetorszag,2020,81.8,74.3,86.3,1.6,2052.1,4045,54792.0644751381,1462090,85.2,1066.5,18.5
Olaszorszag,2012,70.6,50.1,55.6,1.5,3503.9,2997.1,36486.2967870302,460980.7,58.8,1468.6,19.5
Olaszorszag,2013,68.8,49.6,56.6,1.5,3422.3,3141.3,36314.6971007775,461783,59.7,1442,19.3
Olaszorszag,2014,69,50.1,57.6,1.5,3359.1,3158.8,36194.873918843,473718.7,61,1469.3,19.4
Olaszorszag,2015,70.2,50.5,58,1.5,3334.7,2668,36899.3852092464,491905,61.8,1467.7,19.9
Olaszorszag,2016,71.5,51.6,58.1,1.5,3284.2,2684.8,39926.9546628592,497338.5,62.2,1480.5,20.6
Olaszorszag,2017,72.2,52.5,58.8,1.5,3253.5,2746.9,41581.120790548,533719.8,63,1414.3,20.3
Olaszorszag,2018,72.9,53.2,59.7,1.5,3220.8,2908.1,43036.2437770367,555394.1,63.8,1422.2,20.3
Olaszorszag,2019,73.3,53.9,59.8,1.5,3173.9,2782.6,44334.2003275855,567784.4,64.5,1439.2,20.1
Olaszorszag,2020,71.8,52.1,60.5,1.5,3113.2,2658.8,41828.5540397184,489342.1,65.1,1370.4,20.1
Portugalia,2012,67.5,60.8,33.6,1.5,442.7,1734.3,26438.0163019973,63578.7,40.7,278.3,17.9
Portugalia,2013,66.6,60.5,35.5,1.5,431,1840.7,27936.0396644563,67526,43.8,277.3,18.7
Portugalia,2014,69.5,62.9,38.8,1.4,416.2,1811.8,28742.4403783509,69595.2,47.5,243.7,19.5
Portugalia,2015,71.2,64.8,41.4,1.4,388.4,1523.4,29660.8960672526,72990.7,48.6,235.2,19.5
Portugalia,2016,72.9,66.4,43,1.4,377.6,1525.5,31607.7542431733,74989.1,50.5,229.9,19
Portugalia,2017,76.2,69,43.3,1.5,379.8,1585.8,33044.7167387479,83717,52.2,225.5,18.3
Portugalia,2018,78.1,71.5,44.8,1.5,377.5,1714.7,34928.5435337746,89143.7,54.4,225.2,17.3
Portugalia,2019,79.1,72.2,47.7,1.4,389,1684.7,36172.0725393171,93271,56.3,242.4,17.2
Portugalia,2020,77.1,71.4,51.7,1.5,369.7,1757.8,34148.9529253925,74096.9,58.8,239.6,16.2
Romania,2012,65.4,48.2,79.3,1.6,1124.5,614.9,18869.5689682481,49808.9,71.5,422,22.9
Romania,2013,65.4,48.2,79.3,1.6,1114.8,673.3,19781.9257079992,57525.1,72.1,413.7,23
Romania,2014,66.7,49.2,75.5,1.6,1105.2,704.6,20657.6732894791,62434.4,70,410,25.1
Romania,2015,68,50.3,77.6,1.6,1049,638.6,21605.8356153117,66278.2,72.4,391.9,25.4
Romania,2016,69.1,51.4,78.9,1.6,978.4,711,24271.4700174562,71046.1,74.5,354.8,25.3
Romania,2017,71.3,54,79.7,1.6,991,817.8,27141.9009335846,78910.7,76.1,364.7,23.6
Romania,2018,73,54.5,80.1,1.6,940.3,903.25,29309.2062729793,85605.9,76.8,348.4,23.5
Romania,2019,74.6,55.4,80.5,1.6,936.5,1120.49,31901.4259622325,90120.2,77.5,335.1,23.8
Romania,2020,74.7,55.4,81.9,1.6,918.3,1178.22,32116.4809530635,81307.9,78.9,325.2,23.4
Spanyolorszag,2012,64.6,54.6,52.9,1.6,1925.3,2814,31720.1199986535,324335,56.4,920.5,20.8
Spanyolorszag,2013,63.4,53.8,53.4,1.5,1937.4,2935.9,32434.0032017704,336333,57.5,930.6,20.4
Spanyolorszag,2014,65,54.8,54.8,1.6,1934.3,2928.3,33525.7406299089,345593,58.4,934.7,22.2
Spanyolorszag,2015,67.6,56.4,55.3,1.6,1949.2,2482.2,34903.1274779473,362356,59.6,952.1,22.1
Spanyolorszag,2016,69.6,58.1,55.7,1.6,1944.7,2465.7,37286.2134326488,377370,60.9,981.2,22.3
Spanyolorszag,2017,71.5,59.6,56.5,1.6,1958.4,2517.5,39528.9253872668,408390,61.7,962,21.6
Spanyolorszag,2018,73.1,61,57.2,1.6,1939.4,2655.8,40696.3876815487,423097,63,967.4,21.5
Spanyolorszag,2019,74,62.1,58.3,1.6,1926.1,2545.2,41696.3111045261,434967,64.3,986.1,20.7
Spanyolorszag,2020,71.4,60,59.8,1.6,1905,2520.2,37765.8013368995,343551,65.9,987.1,21
Svedorszag,2012,81.6,76.1,81.9,1.7,300.1,4540.1,45432.4319692761,193635.1,82.9,113.7,15.2
Svedorszag,2013,81.9,76.4,82.5,1.8,304.3,4807,46312.3923824667,187905,83.9,120,16
Svedorszag,2014,81.8,76.9,82.8,1.8,295.6,4664.9,47184.6691338182,189866.6,84.7,118.9,15.6
Svedorszag,2015,82.2,77.6,83.2,1.8,291.6,3889.6,49103.1334338706,199355.3,85.5,120.6,16.3
Svedorszag,2016,82.7,78.4,84.3,1.8,288.8,3926.2,50430.2528196052,199056.1,85.8,120.2,16.2
Svedorszag,2017,83.4,79,84.5,1.8,295.6,4025.7,51947.9542478244,209937.8,86.2,118.2,15.8
Svedorszag,2018,84.1,79.4,84.5,1.8,303.6,4077.5,53521.6306428288,215017.9,86.9,116.5,16.4
Svedorszag,2019,84,78.9,84.7,1.8,313.1,3862.4,54598.7803541484,227987.6,87.6,116.3,17.1
Svedorszag,2020,82.8,77.4,85.4,1.8,300.6,4063.5,55037.7239019555,212050.3,87.6,114.1,16.1
Szlovakia,2012,72.4,61.5,93.5,1.6,255.4,1225.9,29042.8202729641,26425.6,90,99.2,13.2
Szlovakia,2013,71.8,62,93.6,1.6,258.1,1293.1,29973.6993541529,27055.1,90.1,99.3,12.8
Szlovakia,2014,72.7,62.9,92.3,1.7,256.2,1316.2,30870.0236667425,28659.2,89.6,101.5,12.6
Szlovakia,2015,74.5,64.6,92.8,1.7,251,1142.9,31628.247175832,29974.3,90,106.4,12.3
Szlovakia,2016,76.4,67.2,93.1,1.6,260.7,1172.9,33936.0440637175,31383.2,90.6,114.7,12.7
Szlovakia,2017,77,69.4,92.7,1.7,259.1,1246.9,36507.5530416531,35753.4,90.2,115.6,12.4
Szlovakia,2018,78.8,70.3,92.6,1.7,260.3,1374.4,38961.5443523867,38899.9,90.7,108.7,12.2
Szlovakia,2019,79.4,71.7,92.1,1.7,265.7,1383,40670.8778673103,40635.6,90.6,111,11.9
Szlovakia,2020,78.2,70.9,93.3,1.6,260.2,1450.6,39768.6327915153,36541.2,92,106.1,11.4
Szlovenia,2012,71.1,64.2,86.2,1.6,74.6,2306.9,29042.8202729641,26425.6,83.7,30.3,13.5
Szlovenia,2013,70.6,62.6,86.2,1.6,73.9,2398.3,29973.6993541529,27055.1,84.7,28.9,14.5
Szlovenia,2014,71,63.2,87.1,1.6,77,2432.8,30870.0236667425,28659.2,84.2,31.2,14.5
Szlovenia,2015,72.7,64.2,88,1.6,77.4,2064,31628.247175832,29974.3,85.5,32.1,14.3
Szlovenia,2016,72.7,66.2,88.6,1.7,72.9,2130.2,33936.0440637175,31383.2,86,31.1,13.9
Szlovenia,2017,76.2,69.3,88.9,1.6,72.2,2243.5,36507.5530416531,35753.4,86.9,35.3,13.3
Szlovenia,2018,78.3,71.2,88.8,1.6,79.6,2437.8,38961.5443523867,38899.9,87.4,36.7,13.3
Szlovenia,2019,79,72.5,89.3,1.7,79.5,2411.6,40670.8778673103,40635.6,88.3,34.9,12
Szlovenia,2020,77.6,71.7,91.1,1.7,70,2494.7,39768.6327915153,36541.2,89.4,33.6,12.4
